Название,Ссылка,shit,crap,Рейтинг,Смотрящих,Аудитория,Сезонов,Год,dell
Ванда/Вижн  WandaVision,https://myshows.me/view/65101/,['catalogTableSubHeader'],,"['stars', '_4']",39 222,5.57%,1,2021,
В её глазах  Behind Her Eyes,https://myshows.me/view/71412/,['catalogTableSubHeader'],,"['stars', '_4']",15 948,2.26%,1,2021,
Лига справедливости Зака Снайдера  Zack Snyder's Justice League,https://myshows.me/view/72178/,['catalogTableSubHeader'],,"['stars', '_5']",5 559,0.79%,1,2021,
Ночной Странник. Охота на серийного убийцу  Night Stalker: The Hunt for a Serial Killer,https://myshows.me/view/70948/,['catalogTableSubHeader'],,"['stars', '_4']",1 746,0.25%,1,2021,
Тревожный звонок  Calls,https://myshows.me/view/71995/,['catalogTableSubHeader'],,"['stars', '_4']",1 488,0.21%,1,2021,
Ты заставляешь меня танцевать  You Make Me Dance,https://myshows.me/view/71395/,['catalogTableSubHeader'],,"['stars', '_4']",486,0.07%,1,2021,
Для моей звезды  To My Star,https://myshows.me/view/71127/,['catalogTableSubHeader'],,"['stars', '_5']",432,0.06%,1,2021,
Дилер  Caïd,https://myshows.me/view/71744/,['catalogTableSubHeader'],,"['stars', '_3']",311,0.04%,1,2021,
Боевой континент  Douluo Continent,https://myshows.me/view/71609/,['catalogTableSubHeader'],,"['stars', '_4']",301,0.04%,1,2021,
Бурная жизнь в круглосуточном магазине	  Fling at Convenience Store,https://myshows.me/view/71550/,['catalogTableSubHeader'],,"['stars', '_4']",300,0.04%,1,2021,
Три пути  3 Caminos,https://myshows.me/view/70762/,['catalogTableSubHeader'],,"['stars', '_3']",289,0.04%,1,2021,
Убийство среди мормонов  Murder Among the Mormons,https://myshows.me/view/71674/,['catalogTableSubHeader'],,"['stars', '_3']",268,0.04%,1,2021,
Эпоха самураев. Борьба за Японию  Age of Samurai: Battle for Japan,https://myshows.me/view/71867/,['catalogTableSubHeader'],,"['stars', '_4']",101,0.01%,1,2021,
Это нападение! Крупнейшая кража картин в мире  This is a Robbery: The World's Biggest Art Heist,https://myshows.me/view/72101/,['catalogTableSubHeader'],,"['stars', '_4']",100,0.01%,1,2021,
Тайгер  Tiger,https://myshows.me/view/71137/,['catalogTableSubHeader'],,"['stars', '_4']",92,0.01%,1,2021,
Ты мой мальчик  You Are Ma Boy,https://myshows.me/view/71324/,['catalogTableSubHeader'],,"['stars', '_4']",84,0.01%,1,2021,
Деми Ловато: танцуя с дьяволом  Demi Lovato: Dancing with the Devil,https://myshows.me/view/71784/,['catalogTableSubHeader'],,"['stars', '_5']",76,0.01%,1,2021,
Время Эплдог и ДТ  Go Go Squid 2: Dt.Appledog's Time,https://myshows.me/view/71627/,['catalogTableSubHeader'],,"['stars', '_4']",58,0.01%,1,2021,
Дорогой Уран  Dear Uranus,https://myshows.me/view/72154/,['catalogTableSubHeader'],,"['stars', '_4']",48,0.01%,1,2021,
Заставь мое сердце улыбаться  Make My Heart Smile,https://myshows.me/view/71795/,['catalogTableSubHeader'],,"['stars', '_4']",45,0.01%,1,2021,
Мира Мира  Mira Mira,https://myshows.me/view/72244/,['catalogTableSubHeader'],,"['stars', '_3']",43,0.01%,1,2021,
Тренер Купидон  The Cupid Coach,https://myshows.me/view/70869/,['catalogTableSubHeader'],,"['stars', '_4']",36,0.01%,1,2021,
Исабель: Частная жизнь писательницы Исабель Альенде  Isabel: La Historia Íntima de la Escritora Isabel Allende,https://myshows.me/view/72029/,['catalogTableSubHeader'],,"['stars', '_4']",36,0.01%,1,2021,
Дураки  FOOLs - Những Kẻ Khờ,https://myshows.me/view/71344/,['catalogTableSubHeader'],,"['stars', '_3']",30,0%,1,2021,
Райское местечко   For Heaven's Sake,https://myshows.me/view/71935/,['catalogTableSubHeader'],,"['stars', '_4']",28,0%,1,2021,
Джон Уэйн Гейси: Замаскированный дьявол  John Wayne Gacy: Devil in Disguise,https://myshows.me/view/72220/,['catalogTableSubHeader'],,"['stars', '_3']",27,0%,1,2021,
Любовная сделка: Легко купить-продать любовь  Deal Lover,https://myshows.me/view/71560/,['catalogTableSubHeader'],,"['stars', '_3']",26,0%,1,2021,
Плохой сосед  Bad Roommate,https://myshows.me/view/72311/,['catalogTableSubHeader'],,"['stars', '_3']",10,0%,1,2021,
Моя любовь: шесть историй о настоящей любви  My Love: Six Stories of True Love,https://myshows.me/view/72731/,['catalogTableSubHeader'],,"['stars', '_4']",9,0%,1,2021,
Назад в 2008  Back to the 2008,https://myshows.me/view/71804/,['catalogTableSubHeader'],,"['stars', '_4']",8,0%,1,2021,
Семь шагов  7 Kadam,https://myshows.me/view/72403/,['catalogTableSubHeader'],,"['stars', '_3']",5,0%,1,2021,
Framed by the Killer  ,https://myshows.me/view/71375/,['catalogTableSubHeader'],,"['stars', '_4']",4,0%,1,2021,
The Widower  ,https://myshows.me/view/71697/,['catalogTableSubHeader'],,"['stars', '_0']",2,0%,1,2021,
The Chameleon Killer  ,https://myshows.me/view/71845/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2021,
Grave New World  ,https://myshows.me/view/72389/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2021,
Between Us  ,https://myshows.me/view/72753/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2021,
Ванда/Вижн  WandaVision,https://myshows.me/view/65101/,['catalogTableSubHeader'],,"['stars', '_4']",39 222,5.57%,1,2021,
В её глазах  Behind Her Eyes,https://myshows.me/view/71412/,['catalogTableSubHeader'],,"['stars', '_4']",15 948,2.26%,1,2021,
Лига справедливости Зака Снайдера  Zack Snyder's Justice League,https://myshows.me/view/72178/,['catalogTableSubHeader'],,"['stars', '_5']",5 559,0.79%,1,2021,
Ночной Странник. Охота на серийного убийцу  Night Stalker: The Hunt for a Serial Killer,https://myshows.me/view/70948/,['catalogTableSubHeader'],,"['stars', '_4']",1 746,0.25%,1,2021,
Тревожный звонок  Calls,https://myshows.me/view/71995/,['catalogTableSubHeader'],,"['stars', '_4']",1 488,0.21%,1,2021,
Ты заставляешь меня танцевать  You Make Me Dance,https://myshows.me/view/71395/,['catalogTableSubHeader'],,"['stars', '_4']",486,0.07%,1,2021,
Для моей звезды  To My Star,https://myshows.me/view/71127/,['catalogTableSubHeader'],,"['stars', '_5']",432,0.06%,1,2021,
Дилер  Caïd,https://myshows.me/view/71744/,['catalogTableSubHeader'],,"['stars', '_3']",311,0.04%,1,2021,
Боевой континент  Douluo Continent,https://myshows.me/view/71609/,['catalogTableSubHeader'],,"['stars', '_4']",301,0.04%,1,2021,
Бурная жизнь в круглосуточном магазине	  Fling at Convenience Store,https://myshows.me/view/71550/,['catalogTableSubHeader'],,"['stars', '_4']",300,0.04%,1,2021,
Три пути  3 Caminos,https://myshows.me/view/70762/,['catalogTableSubHeader'],,"['stars', '_3']",289,0.04%,1,2021,
Убийство среди мормонов  Murder Among the Mormons,https://myshows.me/view/71674/,['catalogTableSubHeader'],,"['stars', '_3']",268,0.04%,1,2021,
Эпоха самураев. Борьба за Японию  Age of Samurai: Battle for Japan,https://myshows.me/view/71867/,['catalogTableSubHeader'],,"['stars', '_4']",101,0.01%,1,2021,
Это нападение! Крупнейшая кража картин в мире  This is a Robbery: The World's Biggest Art Heist,https://myshows.me/view/72101/,['catalogTableSubHeader'],,"['stars', '_4']",100,0.01%,1,2021,
Тайгер  Tiger,https://myshows.me/view/71137/,['catalogTableSubHeader'],,"['stars', '_4']",92,0.01%,1,2021,
Ты мой мальчик  You Are Ma Boy,https://myshows.me/view/71324/,['catalogTableSubHeader'],,"['stars', '_4']",84,0.01%,1,2021,
Деми Ловато: танцуя с дьяволом  Demi Lovato: Dancing with the Devil,https://myshows.me/view/71784/,['catalogTableSubHeader'],,"['stars', '_5']",76,0.01%,1,2021,
